QuestionType,Asin,AnswerTime,UnixTime,Question,AnswerType,Answer,Category
open-ended,B00004WLKD,"May 11, 2014",1399791600.0,"So I push this once, and it's on, then I push it again and it's off?",,That's correct....,Automotive
yes/no,B00004WLKD,"Jul 31, 2013",1375254000.0,Can it be used under 220V for a 20W lamp?,?,Sorry No idea,Automotive
open-ended,B00004WLKD,"Apr 14, 2014",1397458800.0,"Will this work for 12V, 20A? Will this in automotive applications?",,Sure. Its just a switch with heavy enough gauge wire to serve that application.,Automotive
open-ended,B00004WLKA,"Sep 13, 2013",1379055600.0,how do I wire this switch for on and off,,"Like the previous person said these have two on positions. If you are looking at the back of this, the left and right don't have any contact. The center is the common. I'll give you an example with a speaker. Say you wanted to wire two speakers so you can chose which one you used. You would divide the connectors so one side is positive and one is negative (right and left side and it doesn't matter which is which). The two center (common) would have the positive and negative connected from the receiver. Now from there you would wire positive and negative on the top for one speaker and the same for the other speaker on the bottom. So now the signal is coming from the receiver and by flipping the switch you are connecting the common signal to either speaker. By flipping the switch to the middle neither speaker would be receiving a signal.",Automotive
open-ended,B00004WLKA,"Dec 30, 2013",1388390400.0,What are the actual product dimensions?,,"1 3/8"" long, 3/4"" wide, 1"" deep(behind mounting surface), 1"" height from mounting surface to top of bat handle",Automotive
yes/no,B00004WLKA,"Jun 1, 2014",1401606000.0,"Can it work with 220 VAC , even on a lower current ?",?,"from the manufacturer's web listing DPDT Toggle Switch GSW-16 GB Switches are leading the industry in quality, durability. This switch features screw terminals and ON-OFF-ON circuitry. This switch fits standard 1/2 in. mounting holes and is perfect for industrial equipment or emergency lighting. Toggle switch, bat handle ON-OFF-ON DPST circuitry 20 Amp @125 Volt AC, 10 Amp 250 Volt AC 4 Screw terminals 1 1/2 HP 125-250 Volt AC PS, any switch I've ever used would work at a lower voltage.",Automotive
yes/no,B00004WLKA,"May 6, 2014",1399359600.0,Can this switch be left in the center off position? I want to use it for a forward/reverse motor. The switch I have now has a unstable center off position.,?,This switch is very stable in the center position. Great switch. Heavy duty.,Automotive
yes/no,B00004WLKA,24 days ago,,can this be used as a 2-speed windshield wiper switch for a 1967 VW beetle?,?,I dont really know.I can tell you that in one position the switch connects the two top terminals to the 2 middle terminals In the other position it connects the bottom 2 terminals to the 2 middle terminals,Automotive
yes/no,B00004WLKA,"Aug 4, 2014",1407135600.0,Does this switch have to be held in the on position in either direction?,N,No,Automotive
yes/no,B00004WLKA,"May 29, 2014",1401346800.0,Does this switch auto return to the off position? What do I look for in a switch to find this info it seems impossible by looking at one online,N,"No, this switch does not automatically return to the off position. It has 3 distinct positions. On-Off-On. You must physically move it to each position. Try searching for a ""momentary"" switch.",Automotive
yes/no,B00004WLKA,"Apr 30, 2014",1398841200.0,"I want a small switch that would control a 12v 12a DC power supply by cutting the 120v ac, would this work?",Y,"Yes, that switch would work fine, assuming you have wire properly. It's actually a little overkill. An SPST switch would work and be less confusing to wire properly.",Automotive
open-ended,B00004WLKA,"Apr 21, 2014",1398063600.0,"Is this switch break-before-make, make-before-break, or unrated?",,As I remember it is double pole double throw....,Automotive
open-ended,B00004WLKA,"Dec 3, 2013",1386057600.0,"Can I use this switch on my atv for front lights and a spot light? (separate ""on"" switches to save the battery) and how do I hook it up!??",,"Only if you want the spot light or the front light on at different times, not both at the same time. Hook power to center screws, spot light on top or bottom & front light to other screws. I use my switch to change the source of power for my construction trailer lights from the truck to a battery pack.",Automotive
open-ended,B00005AXI6,"Jun 2, 2014",1401692400.0,What is the minimun distance from the wall that it can it be set at? I park my truck with the bumper as close to the wall as possible,,"According to the instructions, the front bumper should be 0.5 to 16ft from the Sensor unit. Front wheels 12 -18 inches from the sensor. Hope this helps you. This is the second unit I have had, since 1909. It is great for my car. Myron Whisler",Automotive
open-ended,B00005AXI6,"Oct 14, 2014",1413270000.0,I had read in the company specifications that the battery life was about one year. The reviews from many users complain of the short battery life.,,I have always gotten a year and more.,Automotive
open-ended,B00005AXI6,"Mar 8, 2014",1394265600.0,I replaced batteries then hit the button to reset. It still flashes red! What can I do?,,Never had that problem with my park zone. Never had any problem with it at all. Maybe a battery is in backward.,Automotive
open-ended,B00005AXI6,"Aug 21, 2013",1377068400.0,"With fresh batteries installed, why does it only calibrate from red to yellow(not green) and just continue to flash on yellow?",,"Im on my second one,the first one worked like a charm,the second one not so well. Try taking the batteries back out,unhook both ends of cord,reinstall batteries then reconnect the cord and try to calibrate,if it does the same thing leave it and pull car out,wait to see if it stops flashing. If it does,then pull car in and see if it works properly. Mine acted weird then all of a sudden it started to work properly after a few days and has worked correctly ever since...hope this helps",Automotive
open-ended,B00005AXI6,"May 5, 2014",1399273200.0,how does it work and how is it mounted ?,,"I hate to leave negative feedback but will answer your question. I have had NO LUCK with mine. I called twice to check what I wasn't doing correctly to set it up. Did everything they told me and they were nice about it. Other men have tried to get it to work properly but failed also. Really wanted it to work. Should have returned but kept hoping by some chance it would work, rather stupid of me. So, maybe I just got a bad one. Happens sometimes. So sorry.",Automotive
yes/no,B00005AXI6,"Jan 2, 2015",1420185600.0,I want to pull my car exactly 35 inches from the front wall. Can I set this unit to indicate when I am 35 inches from the wall?,Y,"Yes, pull your car into the garage at 35"" from where the unit is set on the wall, then set the unit at that point. It helps to have another person help set the unit as you drive into the garage to the marked 35"".",Automotive
open-ended,B00005AXI6,"Nov 22, 2014",1416643200.0,It is water resistant?,,No,Automotive
yes/no,B00005AXI6,"Dec 20, 2013",1387526400.0,dedvice flashes continously on red. Does nothing else.,?,Power went out. Reset it.,Automotive
yes/no,B00005AXI6,"Feb 10, 2014",1392019200.0,can it be plugged in??,?,"There are two different Park Zone models. One that is battery only (battery life is good) that can't be plugged in. There is a different model that has a power cord and runs of AC. If you want to plug it in, you have to buy the model that runs of AC power.",Automotive
open-ended,B00005AXI6,"Mar 5, 2014",1394006400.0,how do i reset after changing batteries on park zone parking device,,"Put your device back on the wall. Park your car in the normal position in the garage. Push the button on top of the unit and it will cycle through red, yellow and green and it is reset automatically.",Automotive
open-ended,B000066OC8,16 days ago,,Does it have enough juice in it to power a heating blanket for the night or a few hours?,,All I can tell you is that mine never worked. I didn't know until it was too late to get my money back,Automotive
yes/no,B000066OC8,"Jul 5, 2014",1404543600.0,will the technical specs be included with this item?,Y,"Yes Lois, there is a very easy to read page size instruction sheet that came with mine. It had the specs on it and probably could find it on the internet somewhere. I keep mine with the charger, folded up.",Automotive
open-ended,B000066OC8,"Dec 1, 2013",1385884800.0,My question is NOT about jump starting but if this device has enough power to backup entire car when battery is replaced with new one.,,I think you need a battery in there to complete the circuit anyway.,Automotive
yes/no,B000066OC8,"Dec 1, 2013",1385884800.0,I have Camry Hybrid. 12V battery is only for backup power. Will this device backup for about 15 minutes required to swap out factory battery for new?,?,"I hate to say that this item pretty much served as a paper weight. On the several occasions that my battery died, the Wegan EA2045 didn't help to jump start my 2010 Acura at all. It turns out that the battery was completely dead and my car would start only after a ""traditional"" jump start. It did charge my cell phone while I waited for someone who was able to help with a jump start :) If you do choose to purchase it and you're not satisfied, you'll find it very difficult to return as it's considered hazardous material as I found out. Amazon and the manufacturer however were awesome and refunded the full amount. Good luck!",Automotive
yes/no,B000066OC8,"Jul 19, 2014",1405753200.0,"If you have a drained out car battery, can you plug the Jumpstarter into the DC plug in the car, then plug the AC charger for the Jumpstarter into a 1",?,They don't make that point clear in their advertisement which is why I bought it. The paper work included with the charger states that is does NOT work on a drained or dead battery. Save your money and get AAA instead. They are always able to start the car for you when your battery is dead!,Automotive
open-ended,B000066OC8,"Jan 9, 2014",1389254400.0,whats the best battery jumper?,,Schumacher XP400 400 Peak Amp Instant Portable Power Source,Automotive
yes/no,B00006HNTD,"Jan 22, 2014",1390377600.0,Will this run CFL lighting?,?,It has ran fluorescent tube lighting in my shop without issue. I do not have any cfl's to test. I run mostly LED lighting and it runs that without issue. The people at Tripp Lite are very helpful and normally respond to questions quickly. I highly recommend them.,Automotive
yes/no,B00006HNTD,"Feb 19, 2014",1392796800.0,Does anyone have trouble with buzzing in stereo\television equipment?,?,"Hello, I purchaced to replace a cheape one that I had. Yes, It makes alot of noise, and bleeds over to FM radio's plugged in to it. I do not think it is a true full sine wave, I think it is a modified, wish is why it does that. Other than that, it works great. i lvoe it a great deal. Bob....",Automotive
yes/no,B00006HNTD,"Oct 8, 2014",1412751600.0,Does this unit run off and charge a 24V DC battery pack. The tile states 24V but the specifications list 12V.,Y,"Hi; Since this a brand new unit directly from manufacture, here is the link from the tripp Lite website with all details and spec for that inverter: http://www.tripplite.com/inverter-charger-750w-automatic-transfer-switching-2-outlets~APS750/ Any other questions, let me know I have 4-5 unit of that inverter Thanks",Automotive
yes/no,B00006HNTD,"Jul 21, 2014",1405926000.0,is this 24v,Y,"Yes, I bought this after a cheaper one failed. This one runs a well pump, ac outlets ...ect. its been running well, but its a little loud..",Automotive
open-ended,B00006HNTD,"Nov 2, 2013",1383375600.0,I am off grid live secluded area need tu run my 13 feet refrigerator actualy having strating problems with modified wave inverter can this run 24 hour,,no . i would go with a trace . may be you should change it over to gas . and i have see a conversion to dc units out their . i got a gas frig . as so what it use 200 gal a year . alot cheaper than all those panels etc .,Automotive
open-ended,B00006HNTD,"Oct 8, 2013",1381215600.0,Is this inverter pure sine or modified sine (flat)?,,It is modified sine wave but it is a very good quality wave and can run appliances cheap ones cant.,Automotive
open-ended,B00006HNTD,"Oct 5, 2013",1380956400.0,Has anyone measured the idle load drawn from this inverter? Is there an energy saving idle mode? Is the AC output grounded?,,Tripp Lite tech support is great. it is grounded. I have this exact unit and use it as a backup to my Xantrax,Automotive
open-ended,B00006HNTD,"Feb 21, 2014",1392969600.0,"I can't see where this indicates whether or not this is a modified sine wave or pure sine wave, does anyone know?",,"Hi, this is a modified sine wave.",Automotive
open-ended,B00006HNRY,"Jun 23, 2013",1371970800.0,Have any engineers out there put a scope on the output? What does the waveform look like? thanks.,,"I am a retired electrical engineer so I can tell you it is not necessary to scope the output of this inverter to tell you the output looks like crap as compared to a pure sign wave inverter. It is a modified square wave output that simulates a sign wave as close as possible. The only advantage of this inverter is it is cheap and has the ability to start inductive loads rather well because it can supply the necessary current needed to achieve motor starting. I use this inverter to run saws, drills, and a small air unit in my shop. I have to pure sign wave inverters that run my home because many electronic appliances require a pure sign wave. You can look up modified sign wave on the internet to see the difference in a modified sign wave and a pure sign wave. Hope this helps in your decision making.",Automotive
open-ended,B00006HNRY,"Sep 24, 2013",1380006000.0,"Hello, I was wondering if a modified sine wave inverter like this is good enough to use for appliances like a refrigerator or small A/C unit?",,Yes. Just ensure that you alternator can handle the load. 2000w will be no issue however you alternator may need to be beefed up.,Automotive
open-ended,B00006HNRY,"Mar 30, 2014",1396162800.0,"Hello&#xFF0C;I want to build a computer, you know, 4-way GTX Titan Black at least to need 1600W .So this product can use for computer?",,"I don't think this will work for you, unless your putting it in a car to convert the power into a source to plug machines into. You need to look for a 1600w power supply.",Automotive
open-ended,B00006HNRY,"Jun 13, 2013",1371106800.0,remote controlled?,,Tripp Lite APSRM4 Remote Control for Inverter / Charger APS / PV models w/ RJ45 by Tripp Lite http://www.amazon.com/Tripp-Lite-APSRM4-Control-Inverter/dp/B0002H9S1I/ref=pd_sim_e_2,Automotive
open-ended,B00006HNRY,"Jun 8, 2013",1370674800.0,What Size Input fuse is used? 150amp or 200amp,,"I installed a 200 Amp. fuse, in the battery box, and a 150 Amp. circuit breaker, next to the unit in the camper.",Automotive
open-ended,B00006HNRY,"Aug 22, 2013",1377154800.0,"I would like to know if this item works connected to the wal charging the battery so that when the energy goes out, it immediately switches to battery",,"No, it does not. It's a direct dc inverter, made for mobile use or as a backup power source, you would need an switch to do that.",Automotive
yes/no,B00006HNRY,"Mar 14, 2014",1394780400.0,Is this a Pure Sine Wave inverter?,N,No it's not pure sine...its modified.,Automotive
open-ended,B00006HNRY,"Jul 10, 2013",1373439600.0,What Gauge wire are you using from batteries to the inverter? We are seven feet from inverter to battery. I see 4 gauge mentioned but not certain?,,#2 copper welding cable would be optimal. I'm using 3 batteries to ensure proper voltage under high demands. I would recommend at least 2 batteries.,Automotive
open-ended,B00006HNRY,"Oct 15, 2013",1381820400.0,What are the input high voltage shutdown and alarm settings? I can't find them anywhere in the documentation or on the Trip Lite web site.,,"I recall seeing this info but do not remember the answer...They have an excellent web page where you can get real technical answers. I emailed them and got my answer promptly. Best wishes, Don",Automotive
yes/no,B00006IRWR,"Sep 18, 2013",1379487600.0,"Has anyone used this on an airplane? Often times I travel and have a cigarette lighter outlet available, but it's hard to confirm compatibility online",Y,If its a 12 volt power port the invertor will work fine . I use it all the time in an 18 wheeler for various things,Automotive
yes/no,B00006IRWR,"Mar 16, 2015",1426489200.0,Will this power a hair dryer,?,"Check your hair dryer and see how many watts it's draws. This inverter only puts out 300 watts, if you plug something in that draws more than that it, basically, shuts itself off.",Automotive
open-ended,B00006IRWR,"Jul 20, 2014",1405839600.0,i want to use this in my camper for my tv will it work for that,,"It depends upon the wattage of the television. The Belkin inverter's maximum is 300 watts. If the television wattage is higher than 300 it will blow a fuse because the inverter is over loaded. I use mine on a regular basis for laptops, phones, and GPS charging.",Automotive
open-ended,B00006IRWR,"Jun 22, 2014",1403420400.0,"Does it stay plugged in a car 12v plug and will it allow you to use your laptop, mine is a Toshiba 17""",,It runs my MacBook just fine. The unit has a off switch so it can stay plugged in.,Automotive
yes/no,B003I828EC,"Jan 13, 2015",1421136000.0,can I blend the serum immediately with my moisturizer since the serum has a high concentration of argireline? I,?,I would use it under your moisturizer. The argireline absorbs into the skin immediately.,Beauty
yes/no,B003I828EC,"Dec 29, 2013",1388304000.0,Am looking for 20% argireline. what's the percentage of argireline &amp; matrixyl? It's not listed in this ad nor on the bottle. Thanks so much! G,?,Yes the item worked very well for me. I noticed a difference within two weeks. I had the small lines around my eyes and they became less noticeable. I followed the directions to the letter. I have no idea what the actual amount of the Argireline is but the product worked and still is working for me.,Beauty
open-ended,B003I828EC,"Dec 28, 2013",1388217600.0,how much are shipping charges?,,Free if you have Amazon Prime membership. Not sure if non-Prime. put in your cart & then checkout to see what appears. Then just edit cart if you don't want it. Good Luck,Beauty
open-ended,B003I828EC,"Mar 4, 2014",1393920000.0,"hi, how much Argireline is in this",,There is no specific percentage of Argireline noted on the bottle but it is the 2nd ingredient listed. Normally ingredients are listed from highest to lowest content so that's a good sign.,Beauty
open-ended,B003I87AAY,"Jun 16, 2014",1402902000.0,Is this temporary or permanent hair color?,,Permanent,Beauty
open-ended,B003I87AAY,"Nov 13, 2014",1415865600.0,"This is a great hairdye however, I get stain on the collar or inside the hat where my dyed hair touches. How can I avoid this kind of color transfer?",,"When the Bigen dye dry, you wash your hair out. This should not happen.",Beauty
open-ended,B003I87AAY,"May 17, 2014",1400310000.0,what does it mean case of 6? is it 6 pack?,,Yes it is.,Beauty
yes/no,B003I87AAY,"May 4, 2014",1399186800.0,can i use this product on my beard also?,?,I would imagine you could. Personally I would patch test first to check for any reactions that you may have.,Beauty
open-ended,B003I87AAY,"Apr 24, 2014",1398322800.0,its made were,,I am not sure but it is a great product and is sold in the stores in the U.S.,Beauty
open-ended,B003I87AAY,"Feb 27, 2014",1393488000.0,How often can you dye hair with bigen?,,about 1x/month - once there are too many grays to 'powder' spray over. Sometimes I stretch it to 6 weeks. I'm not too regimented about doing it - I'd rather use it than spend tedious time in a salon. : -},Beauty
open-ended,B003I8KGKU,"Aug 29, 2013",1377759600.0,And will it work for 16-18?,,It may be a small if you like it roomy.,Beauty
yes/no,B003I8KGKU,"May 30, 2013",1369897200.0,will it fit an womens extra large size?,?,"It fits me, I am XL, size 14-16 & it fits fine.",Beauty
yes/no,B003I8KGKU,"Feb 3, 2014",1391414400.0,"Is this a ""one size fits all""",Y,"Yes. It should fit a medium woman. My 5'7"" daughter loves it.",Beauty
yes/no,B003I8KGKU,"Sep 25, 2013",1380092400.0,Is is a long robe?,?,Knee length,Beauty
yes/no,B003ICXCG6,"Apr 2, 2013",1364886000.0,Is this dual Voltage. Can we use with 220v( and i think with the usage of convertor)?,N,"No, sorry, it isn't dual voltage. You would definitely need to use a voltage converter with it for 220v.",Beauty
open-ended,B003ICXCG6,"Oct 11, 2013",1381474800.0,Weight?,,Very light weight 9 gram compared to the one I replaced. Love it still!,Beauty
open-ended,B003ICXCG6,"Sep 6, 2013",1378450800.0,is it 1875 (title) or 2000 (description) watt?,,1875 Watt.,Beauty
open-ended,B003ICXCG6,"Nov 16, 2014",1416124800.0,How long is the cord on this dryer?,,The cord is about 6ft long.,Beauty
open-ended,B003ICXCG6,"Feb 1, 2015",1422777600.0,Can you please tell me the diameter and length of the barrel? Trying to find Hairdryer to fit my revlon480 diffuser. Thanks!,,"Outer diameter is 1.5"". Length of barrel is 3.75"".",Beauty
yes/no,B003ICXCG6,"Jan 15, 2015",1421308800.0,Are there any fine-haired users of this product who are satisfied?,?,"My hair is fine, though not extra-extra fine, and I like this hair dryer a lot. I don't use the ""concentrator adapter"" but the three heat settings and two speeds work perfectly for me.",Beauty
yes/no,B003ICXCG6,"Aug 10, 2014",1407654000.0,Can you remove the filter in the back to clean it out?,Y,"Yes, it's very easy.",Beauty
yes/no,B003ICXCG6,"Oct 9, 2013",1381302000.0,Is it more quiet than others?,?,I would say a medium level of sound. I've had quieter and louder than this.,Beauty
open-ended,B003ICXCG6,"Jun 14, 2013",1371193200.0,how wide is the nozzle?,,1-2 inches in diameter,Beauty
open-ended,B003ICXCG6,"Jan 16, 2015",1421395200.0,How long is the barrel?,,"It is normal size not shortened like a compact dryer. The whole thing is 9 3/4"" with the barrel being 3 3/4"".",Beauty
open-ended,B003IIPDMQ,"Jan 15, 2014",1389772800.0,"How are there so many mixed reviews on this products? Some saying it's definitely fake, others saying it's definitely now. Who to believe?!",,"It's probably more than likely fake. I've used flowerbomb and let me tell you, the scent stays stays stays. If anyone complains about the fact that the smell isn't sticking, then you really shouldn't purchase from this seller. Also, don't be fooled. Sellers pay people to submit great reviews just so they can pick up their ratings. A good tip is to check the peoples page who left ""great"" ratings, you'll notice that they will more than likely only have ONE rating and it will be to that item. These people get paid to do this.",Beauty
open-ended,B003IIPDMQ,"Feb 4, 2013",1359964800.0,is the fragrance and quantity original or knock off version,,Mine just arrived. The code that is suppose to be inside the top cover was ripped out of BOTH boxes. BOTH bottles do not look like the one I first purchased from Macy's. It does not smell the same. I hope Amazon or Tuccini will allow me to return them.,Beauty
open-ended,B003IIPDMQ,"Feb 7, 2015",1423296000.0,I believe amazon would not sell a fake perfume however sub seller might do ? if you bought it straight from amazon not fulfilled was the code ripped?,,The perfume was perfect. Just like it came from the store. It's a really great deal for this wonderful perfume.,Beauty
open-ended,B003IIPDMQ,"Jan 16, 2014",1389859200.0,How can there be so many sellers that get the same complaint- The code that is suppose to be inside the top cover was removed?,,I did not recognize a code because I didn't look for it. The box was well wrapped and the bottle and fragrance is the same as the one at Macys. I know that sometimes you can use the code to see special offers online also it is used to trace check to see if the product is authentic.,Beauty
open-ended,B003IIPDMQ,"Mar 23, 2014",1395558000.0,"What is this ""code"" inside the box? What does it tell you and how is it used?",,I don't know. I threw away the box without really looking at it.,Beauty
yes/no,B003IIPDMQ,15 days ago,,Are there any fragrances that are identical to flowerbomb? I am a college student so I can't really afford Flowerbomb.,?,"Try CK, Euphoria",Beauty
open-ended,B003IIPDMQ,"Mar 22, 2015",1427007600.0,Why is this bottle so expensive? you can buy the perfume in the bottle for $100,,"The price depends on the size you are buying and if it is Eau de Toilette or Eau de Parfum (more concentrated), the bigger size Eau de Parfum more than $100 anywhere.",Beauty
open-ended,B003IIPDMQ,"Feb 7, 2015",1423296000.0,a lot of people have said this is fake. why doesn't some one compare what is supposed to be the original one with this one?,,I can't say why someone can't compare the original one to this one. But I can say... Do these people truly know what the original is like? I bought a number of perfumes I always try to buy EDP instead of EDT. Some of them work with my body chemistry some don't. But because it doesn't work on my body I can't say its fake. I can say that the flower bomb I purchased here smells really good and I pinch it cause I want it to last me a very long time and the scent stays.,Beauty
open-ended,B003IIPDMQ,"Feb 2, 2015",1422864000.0,What is the difference between 3.4 oz and 3.4 fl oz?,,Nothing. They are the same. Fl stands for fluid. Oz stands for ounces.,Beauty
open-ended,B003IIPDMQ,"Dec 16, 2014",1418716800.0,Does this come with a sprayer or is it only dab on?,,Comes in spray,Beauty
yes/no,B003IPP9VE,"Jan 8, 2015",1420704000.0,can you use this to curl short hair,Y,Yes. This is the best straightener I've seen. I have very fine thin hair and keep it short. I highly recommend it.,Beauty
yes/no,B003IPP9VE,"Dec 5, 2013",1386230400.0,does this have plates that swivel?,N,No.,Beauty
yes/no,B003IPP9VE,"Oct 11, 2014",1413010800.0,Is the temp control digital?,?,"No it isn't, it is a fabulous flat iron regardless. I have had this one for almost a year and love it!",Beauty
yes/no,B003IPP9VE,"Mar 14, 2014",1394780400.0,does it have auto shut off?,?,"The one I have is small (1inch?) it is too small and has a small comb feature that I dont like. My hair is fairly thick (Im mexican + anglo mix). The Solia I have does not automatically shut of, I have to press the switch. I have had a differnt Solia and liked it (2 inch?) and I cannot recall if that one shuts off automatically (I do not recall that it did).",Beauty
open-ended,B003IPP9VE,"Feb 20, 2014",1392883200.0,"The product description says this is a ""mini"" flat iron. What does that mean?",,"I believe it means that the flat iron measures 3/4"" across. The length is the same as most other flat irons I've seen.",Beauty
yes/no,B003IU9HI0,"Apr 30, 2013",1367305200.0,does this help melasma?,?,"It claims to minimize these skin discolorations, which I am trying to do right now by applying to the patch every morning. Since I have just begun the focused treatment I cannot say whether it is successful, but certainly worth a try. It has helped my skin in other ways, so I am hopeful. Will follow-up after a month or so.",Beauty
yes/no,B003IU9HI0,"Aug 11, 2014",1407740400.0,can it be used in the scalp,Y,"Absolutely -as a matter of fact many companies are starting to add seabuckhorn oil to their hair products. It makes hair shiny, healthy and kills mites on the scalp. I had been dealing with horrible skin and intestinal parasites for over a year and seabuckhorn oil REALLY helped my skin-killed the mites and healed the scars. It has been a miracle to me. So go use it on your scalp and see if it doesn't help your hair and scalp! I bought their face cream and body cream because I like it so much.",Beauty
open-ended,B003IU9HI0,"Jul 26, 2013",1374822000.0,Is this the essential oil or the carrier?,,It is 100% therapeutic grade organic sea buckthorn seed oil,Beauty
yes/no,B003IU9HI0,"May 24, 2014",1400914800.0,Do you need to dilute this with a carrier oil?,Y,"My mom and grandma use the oil straight from the bottle without a carrier. They just apply a small amount straight to their face after cleansing. They say it doesn't take much and lasts a long time. Order the 30ml bottle, it's a better value than the 10ml bottle. The 30ml lasts an average of 3 months for both my mom and grandma.",Beauty
yes/no,B003IU9HI0,"Sep 8, 2014",1410159600.0,does this oil need diluted,Y,"It is fine for night use, but might seem a little thick for daytime. I haven't tried putting it with a thinner oil - I may try that.",Beauty
open-ended,B003IU9HI0,"Sep 17, 2014",1410937200.0,How does this compare to the sibu nourishing facial cream?,,Im on my 2nd bottle of lotion/cream whereas I only bought 1 bottle of the oil. I like the lotion better. I even started blending the buckthorn lotion with Cerave PM for extra moisturizing and smooth look. The oil left me just a tiny bit dry,Beauty
open-ended,B003IU9HI0,"Aug 5, 2014",1407222000.0,How should I apply this oil in case of acne? Thank you,,I use it on blemishes to shorten their stay on my face and neck ;) I don't use it as prevention though. It's super slimy so it isn't something I want all over my face. Spot treatments work for me.,Beauty
open-ended,B003IU9HI0,"Apr 4, 2014",1396594800.0,If the cap is accidentally left off for a day would this diminish the effectiveness of the product?,,"Not at all...don't worry, just use it",Beauty
yes/no,B003IU9HI0,"Dec 11, 2013",1386748800.0,"Is the oil supposed to have black swirls in it? If I shake it up well, they tend to disappear, but I want to make sure I didn't get a bad batch.",Y,"I have never seen black swirls in this product. Check the date on the box. Also, you can tell if this product is bad if it has a bad smell. The normal smell is woodsy but if it's bad it smells bad. Hope this helps. Call Sibu Beauty if in doubt. Good luck.",Beauty
open-ended,B003IX36H0,"Aug 4, 2014",1407135600.0,I have shoulder length hair. Can decide if the 2 1/8 or the 2 3/4 inch would be better.,,"My hair is very long but it depends on the size of the wave/curl you want. It really doesn't matter the size of the brush because you can change the width section of hair you use to wrap around the brush when you are blow drying it. You can opt for a one inch section of hair or more. The bigger the barrel of the brush, the more hair you can wrap around it. If it's a smaller barrel you can't wrap a big section of hair. For me personally if you are in doubt go smaller. I actually have multiple sizes of round barrel brushes if I want to make tight waves or not. If you are mainly just folding your hair under and then straightening with a flat iron, opt for a bigger barrel.",Beauty
yes/no,B003IX36H0,"Feb 14, 2014",1392364800.0,"My hair is very thick, and medium length. Will this brush penetrate thick hair?",Y,I think yes it will work for you.,Beauty
yes/no,B003IX36H0,"Feb 17, 2014",1392624000.0,"Will the brush ""melt"" off the handle under heavy dryer heat?",?,I've had no trouble with the handle or the brush.,Beauty
open-ended,B003IX36H0,"Oct 24, 2013",1382598000.0,Anyone know what the bristles are made of? Have any of you had the bristles melt? Do the bristles have a little nubby tip at the end?,,"The bristles are made of very thin plastic. I have had the brush for a year and the bristles have not even come close to melting. The bristles do not have nubby tips at the ends. I love this brush! The best brush I have ever had,. The brush head is not solid, it has great air flow through it. Dries my hair faster and makes it so smooth!",Beauty
open-ended,B003IX36H0,"Mar 31, 2015",1427785200.0,How do you clean this brush? I'm struggling to get the hair out from inside the cylinder.,,They make a great brush cleaner Olivia Garden Brush Cleaner Individual Pieces We have it available on Amazon,Beauty
yes/no,B003IX36H0,"Jan 13, 2015",1421136000.0,"The ends are sharp, will they damage the hair and cause splitends?",N,"No, your hair will feel like silk! Tender on the scalp and the hair. You will not be disappointed",Beauty
open-ended,B003IX36H0,"Aug 25, 2014",1408950000.0,Is the handle rubberized? Or is it a hard surface?,,the handle is rubber and can get caught in the hair if not careful,Beauty
open-ended,B003IX36H0,"May 12, 2014",1399878000.0,I had other blowout brushes with a gap at their handle which rip hair out while blow drying. Can someone tell me whether this brush does that? Thanks!,,I haven't had a problem with this brush in that sense at all. I haven't personally experienced it but this is a really great hair brush! I actually love it and have bought all the sizes in this brush.,Beauty
open-ended,B003IX36H0,"May 7, 2014",1399446000.0,"My hairdresser says to get a ceramic plus ion 65 hairbrush, which one that you sell matches this description so that I can buy it?",,Do not buy this brush. It has such weak and flexible bristles that it doesn't grab hair at all. I gave it to my hairdresser (as it could not be returned) and she agreed it is not at all usable.,Beauty
open-ended,B003IX27P2,"Mar 6, 2013",1362556800.0,I was wondering the sizes in the bag of each brush?,,"The product numbers are NT-54, 44, 34, and 24. 2 1/8, 1 3/4, 1 1/4, and 1 inch according to oliviagarden.com. If measured from the edge of the bristles, they are 3 inches, 2 1/2, 2, and 1 1/2 inches. I like them a lot.",Beauty
open-ended,B003IX27P2,"Sep 2, 2014",1409641200.0,Are the handles on the brushes soft or hard?,,"They are soft rubber, very nice handles. Not like wooden handles. Similar to Prego Brushes Lovely brushes!!",Beauty
open-ended,B003IX27P2,"Oct 2, 2013",1380697200.0,What sizes are the brushes?,,"I received a small one, 2 medium and one large rounds. Love them! !!!",Beauty
open-ended,B003IX27P2,"Jan 12, 2015",1421049600.0,What are the Brush barrel sizes in the set,,I don't know the sizes but one was very large down to about 2 1/2 inches. I sold the three largest ones to my hairdresser's co-worker,Beauty
open-ended,B003IX27P2,"Jun 20, 2014",1403247600.0,i would like to buy 3 of this item do you have some more?,,This item is still available from the manufacturer and has no limit on the quantity.,Beauty
open-ended,B003IX27P2,"Jun 2, 2014",1401692400.0,How mucb would it cost to shipp in Greece?? Thank you,,Shipping cost to Greece would be $35.00 USD.,Beauty
open-ended,B003IX27P2,"Mar 24, 2014",1395644400.0,"Hi, what is the shipping cost to Italy? Thankx",,The shipping cost to Italy would be a flat rate of $35.00 USD,Beauty
open-ended,B003IX27P2,"Mar 24, 2014",1395644400.0,"Hi, what is the shipping cost to Italy? Thankx",,The shipping cost to Italy would be a flat rate of $35.00 USD,Beauty
